NÚM. ORGANIZACIÓN;COOPERATIVA  (COLUMNA 1);TELÉFONO  (COLUMNA 6);DIRECCIÓN POSTAL  (COLUMNA 7);DIRECCIÓN FÍSICA  (COLUMNA 8);Oficial Banca Electrónica  (COLUMNA 21)
600;Abraham Rosa ARCOOP;787-622-3055;HC-01 Box 9087 Toa Baja, PR 00949-9759;Carr. #2 KM. 17.7 Sector Macun Toa Baja, Puerto Rico 00949-9759;broman@arcoop.com
664;Adjuntas;787-829-3290 ext. 3292;PO Box 5 Adjuntas, PR 00601-0005;Calle Primo Delgado #8 Adjuntas, Puerto Rico 00601;coopadjuntas@gmail.com
687;Aguada;787-868-2115;PO Box 543  Aguada, PR 00602-0543;Carr. 115 KM.24.6 Bo. Asomante Aguada, Puerto Rico 00602;wmunoz@coopaguada.com
657;Aguadilla;787-891-1755;PO Box 541 Aguadilla, PR 00605-0541;San Carlos Ave. Esq. Comercio Aguadilla, PR 00603;"ecruz@aguacoop.com; avillanueva@aguacoop.com"
608;Buenacoop;787-732-4036/0785/924-0060/0056;PO Box 5 Aguas Buenas, PR 00703-0005;Calle Rafael Laza #14 Aguas Buenas, Puerto Rico 00703;ipizarro@buenacoop.com
677;Villa-Coop;787-847-5640;PO Box 1554  Villalba, PR 00766;Poblado Tierra Santa Carr. 149 Km 58.1 Villalba PR 00766;emaldonado@villa-coop.com
673;Boni-Coop;787-735-4131;Calle José C. Vázquez #100 Aibonito, Puerto Rico 00705;Calle José C. Vázquez #100 Aibonito, Puerto Rico 00705;emorales@bonicoop.com
625;Añasco;787-826-2655;P.O. Box 489, Añasco P.R. 00610-0489;Carr #2 km 142 interior, Marginal Don Frape Añasco PR 00610;crivera@anascoop.com
636;Arecibo (COOPACA);787-878-2095;PO Box 1056  Arecibo, PR 00613-1056;265 Calle Capitan Abreu Arecibo PR 00612;sruiz@coopaca.com
637;Asociación de Maestros de PR (EDUCOOP);787-753-0130;PO Box 192770 San Juan, PR 00919-2770;Ave. Ponce de León #501 Esquina Betances Hato Rey PR. 00919;shakira.maldonado@educoop.com.pr
643;Barranquitas (Credicentro);787-857-3500;PO Box 686  Barranquitas, PR 00794;Carr. 156 17.1 Salida hacia Comerio Barranquitas, Puerto Rico 0000794;lcolon@credicentrocoop.com
670;Quebrada-Coop;787-898-7979;HC-02 Box 7873 Camuy, PR 00627;Carr 129 km 18.5 Int 455 Bo. Quebrada Camuy, Puerto Rico 00627;mayranieves@quebradacoop.com
661;Borinquen Community;"787-890-8251; 787-890-8252";P.O. Box 250474 Ramey, Aguadilla PR 00604;Ramey Shopping Center Suite #35 Agudilla PR 00603;vmiranda@bcfcupr.com
641;Cabo Rojo;787-851-1337 ext. 1341;PO Box 99 Cabo Rojo, PR 00623-0099;Penuelas, PR 00624;mfigueroa@caborojocoop.com
634;CAGUAS-COOP;787-746-9595/787-286-8500;PO Box 1252 Caguas, PR 00726;Ave. Muñoz Rivera Esq. Lope Flores, Caguas P.R. 00726;kgarcia@caguascoop.com
605;CAMUY-COOP;787-898-4970;P.O. Box 540, Camuy P.R. 00627;Ave. Baltazar Jiménez #300 Camuy, Puerto Rico 00627;servicioselectronicos@camuycoop.com
695;Caparra;787-792-1302;100 Ave. San Patricio, Suite F-16 Guaynabo, PR 00968-2635;100 Ave. San Patricio, Suite F-16 Guaynabo, PR 00968-2635;mfigueroa@caparra.coo
659;Caribe Federal Credit Union;787-474-5151;Calle O'niell 195 Hato Rey 00918;Calle O'niell 195 Hato Rey 00918;"vangie.hernaiz@caribefederal.com; alvin.hernandez@caribefederal.com"
667;Caribe-COOP;787-835-2480;PO Box 560547 Guayanilla, PR 00656;Calle Luis Muñoz Rivera #123 Guayanilla PR 00656;apadilla@caribecoop.com
632;Ciales;787-871-1800;PO Box 1438  Ciales, PR 00638;48  Calle Palmer  Ciales, Puerto Rico 00638;elirivera2@cialescoop.com
638;Cidreña;787-739-7700;PO Box 1490 Cidra, PR 00739-1490;Calle Barceló #49 Cidra PR 00739;frosario@cidrenacoop.com
675;Cristóbal Rodríguez Hidalgo;787-825-1350 / 1496;PO Box 438 Coamo, PR 00769-0438;Carr. 150 KM. 20-05 Coamo, Puerto Rico 00769;vrentas@crh.coop
623;Cupey Alto;787-760-2260;RR-17 Buzón 11100  San Juan, PR 00926-9483;Bo. Cupey Alto Carr. 176 KM.9.1 San Juan, Puerto Rico 00926;"ldiaz@cupeyalto.coop; jcaraballo@cupeyalto.coop"
